event_id,ts,region_id,rider_id,driver_id,base_price,surge_multiplier,proposed_price,subsidy,final_price,context_score,conversion_prob,is_trip,revenue
1,2025-12-01 00:00:00,1,334,-1,1.188,1.0,1.188,0.0,1.188,-0.7531,0.437071,0,0.0
2,2025-12-01 00:00:00,1,24,1000,1.188,1.0,1.188,0.5,0.688,0.2011,0.931495,1,0.688
3,2025-12-01 00:00:00,1,296,1001,1.188,1.0,1.188,1.0,0.188,-0.4477,0.979564,1,0.188
4,2025-12-01 00:00:00,2,488,2000,2.572,1.0,2.572,1.0,1.572,-0.7711,0.879416,1,1.572
5,2025-12-01 00:00:00,2,81,2001,2.572,1.0,2.572,1.0,1.572,0.7282,0.970292,1,1.572
6,2025-12-01 00:00:00,2,475,-1,2.572,1.0,2.572,0.0,2.572,-0.2282,0.567536,0,0.0
7,2025-12-01 00:00:00,2,140,2002,2.572,1.0,2.572,1.0,1.572,-0.3223,0.919507,1,1.572
8,2025-12-01 00:00:00,3,406,3000,1.742,1.0,1.742,0.5,1.242,-0.4781,0.793366,1,1.242
9,2025-12-01 00:00:00,3,370,3001,1.742,1.0,1.742,1.0,0.742,-0.7453,0.916949,1,0.742
10,2025-12-01 00:00:00,3,95,3002,1.742,1.0,1.742,0.5,1.242,-0.2684,0.825639,1,1.242
11,2025-12-01 00:00:00,3,358,3003,1.742,1.0,1.742,0.5,1.242,0.0415,0.865874,1,1.242
12,2025-12-01 00:00:00,3,69,3004,1.742,1.0,1.742,0.0,1.742,-0.5896,0.477614,1,1.742
13,2025-12-01 00:00:00,3,447,3005,1.742,1.0,1.742,0.5,1.242,-0.7163,0.751596,1,1.242
14,2025-12-01 00:00:00,3,119,3006,1.742,1.0,1.742,0.5,1.242,0.5061,0.911298,1,1.242
15,2025-12-01 00:00:00,3,71,-1,1.742,1.0,1.742,1.0,0.742,1.0461,0.985124,0,0.0
16,2025-12-01 00:00:00,4,427,4000,2.646,1.0,2.646,0.0,2.646,0.0988,0.645386,1,2.646
17,2025-12-01 00:00:00,4,244,4001,2.646,1.0,2.646,0.5,2.146,-1.0048,0.623285,1,2.146
18,2025-12-01 00:00:00,4,126,4002,2.646,1.0,2.646,1.0,1.646,0.9971,0.971075,1,1.646
19,2025-12-01 00:00:00,4,259,4003,2.646,1.0,2.646,0.5,2.146,0.7482,0.905212,1,2.146
20,2025-12-01 00:00:00,4,470,-1,2.646,1.0,2.646,0.0,2.646,0.334,0.697208,0,0.0
21,2025-12-01 00:00:00,5,36,5000,2.109,1.0,2.109,0.5,1.609,-0.4813,0.805084,1,1.609
22,2025-12-01 00:00:00,6,225,6000,2.263,1.0,2.263,0.5,1.763,1.1701,0.939593,1,1.763
23,2025-12-01 00:00:00,6,428,6001,2.263,1.0,2.263,0.5,1.763,-0.135,0.808335,1,1.763
24,2025-12-01 00:00:00,6,29,-1,2.263,1.0,2.263,1.0,1.263,-0.6463,0.881038,0,0.0
25,2025-12-01 00:00:00,6,259,-1,2.263,1.0,2.263,0.5,1.763,-0.2391,0.791698,0,0.0
26,2025-12-01 00:00:00,6,87,6002,2.263,1.0,2.263,0.0,2.263,-0.5283,0.492921,1,2.263
27,2025-12-01 00:00:00,7,381,-1,2.941,1.0,2.941,0.5,2.441,0.9014,0.89967,0,0.0
28,2025-12-01 00:00:00,8,195,8000,1.389,1.0,1.389,1.0,0.389,-0.007,0.986717,1,0.389
29,2025-12-01 00:00:00,8,10,8001,1.389,1.0,1.389,0.0,1.389,-0.7933,0.427185,1,1.389
30,2025-12-01 00:00:00,8,238,8002,1.389,1.0,1.389,0.5,0.889,0.0875,0.923788,1,0.889
31,2025-12-01 00:00:00,8,312,8003,1.389,1.0,1.389,1.0,0.389,-0.0005,0.986801,1,0.389
32,2025-12-01 00:00:00,9,433,9000,1.309,1.0,1.309,1.0,0.309,-0.4532,0.979142,1,0.309
33,2025-12-01 00:00:00,10,401,-1,2.935,1.0,2.935,0.0,2.935,-0.3633,0.534118,0,0.0
34,2025-12-01 00:00:00,10,44,10000,2.935,1.0,2.935,0.0,2.935,0.2511,0.679414,1,2.935
35,2025-12-01 00:00:00,10,179,-1,2.935,1.0,2.935,0.0,2.935,0.5014,0.731337,0,0.0
36,2025-12-01 00:00:00,10,58,-1,2.935,1.0,2.935,0.0,2.935,-0.198,0.574925,0,0.0
37,2025-12-01 00:00:00,10,162,10001,2.935,1.0,2.935,0.0,2.935,0.171,0.661716,1,2.935
38,2025-12-01 00:00:00,10,43,-1,2.935,1.0,2.935,0.5,2.435,-0.2053,0.774453,0,0.0
39,2025-12-01 00:00:00,11,182,11000,1.939,1.0,1.939,0.5,1.439,0.2155,0.899289,1,1.439
40,2025-12-01 00:00:00,11,196,-1,1.939,1.0,1.939,0.0,1.939,-0.1234,0.593053,0,0.0
41,2025-12-01 00:00:00,13,339,13000,1.874,1.0,1.874,0.5,1.374,0.4447,0.901326,1,1.374
42,2025-12-01 00:00:00,13,146,13001,1.874,1.0,1.874,0.5,1.374,-0.3406,0.806397,1,1.374
43,2025-12-01 00:00:00,13,193,13002,1.874,1.0,1.874,1.0,0.874,-0.2557,0.941535,1,0.874
44,2025-12-01 00:00:00,14,73,-1,1.625,1.0,1.625,0.0,1.625,0.4681,0.724743,0,0.0
45,2025-12-01 00:00:00,14,8,14000,1.625,1.0,1.625,0.0,1.625,-0.0832,0.602715,1,1.625
46,2025-12-01 00:00:00,14,83,14001,1.625,1.0,1.625,0.0,1.625,-0.0404,0.61293,1,1.625
47,2025-12-01 00:00:00,14,359,-1,1.625,1.0,1.625,0.5,1.125,0.5055,0.921851,0,0.0
48,2025-12-01 00:00:00,15,357,-1,1.775,1.0,1.775,0.0,1.775,-0.2487,0.562495,0,0.0
49,2025-12-01 00:00:00,15,257,-1,1.775,1.0,1.775,0.0,1.775,0.0482,0.63372,0,0.0
50,2025-12-01 00:00:00,15,435,-1,1.775,1.0,1.775,0.0,1.775,0.0707,0.638927,0,0.0
51,2025-12-01 00:00:00,15,413,15000,1.775,1.0,1.775,1.0,0.775,0.2119,0.979135,1,0.775
52,2025-12-01 00:00:00,16,428,16000,1.28,1.0,1.28,0.5,0.78,0.1932,0.948861,1,0.78
53,2025-12-01 00:00:00,16,448,16001,1.28,1.0,1.28,0.5,0.78,0.5911,0.965061,1,0.78
54,2025-12-01 00:00:00,16,51,16002,1.28,1.0,1.28,0.0,1.28,-0.1567,0.585002,1,1.28
55,2025-12-01 00:00:00,16,490,16003,1.28,1.0,1.28,1.0,0.28,0.7912,0.996815,1,0.28
56,2025-12-01 00:00:00,17,359,17000,2.574,1.0,2.574,0.0,2.574,0.2468,0.678486,1,2.574
57,2025-12-01 00:00:00,18,306,-1,2.561,1.0,2.561,0.0,2.561,-0.293,0.551554,0,0.0
58,2025-12-01 00:00:00,18,152,18000,2.561,1.0,2.561,0.5,2.061,0.1497,0.843771,1,2.061
59,2025-12-01 00:00:00,18,311,18001,2.561,1.0,2.561,0.0,2.561,-0.9217,0.396113,1,2.561
60,2025-12-01 00:00:00,18,73,18002,2.561,1.0,2.561,0.5,2.061,-0.2432,0.784757,1,2.061
61,2025-12-01 00:00:00,18,42,18003,2.561,1.0,2.561,0.5,2.061,0.0074,0.824078,1,2.061
62,2025-12-01 00:00:00,18,73,-1,2.561,1.0,2.561,0.5,2.061,0.0112,0.824632,0,0.0
63,2025-12-01 00:00:00,19,426,19000,1.28,1.0,1.28,0.5,0.78,-0.1819,0.930572,1,0.78
64,2025-12-01 00:00:00,19,74,19001,1.28,1.0,1.28,1.0,0.28,-0.3999,0.990574,1,0.28
65,2025-12-01 00:00:00,19,432,19002,1.28,1.0,1.28,0.5,0.78,-0.9218,0.864775,1,0.78
66,2025-12-01 00:00:00,19,171,19003,1.28,1.0,1.28,0.5,0.78,0.8554,0.974238,1,0.78
67,2025-12-01 00:05:00,0,257,0,1.878,1.0,1.878,1.0,0.878,0.1486,0.959226,1,0.878
