event_id,ts,rider_id,region_id,arm,reward_binary,reward_revenue,region_id,hour,segment,rider_conv,context_score
756,2025-12-01 00:55:00,0,6,0.5,1,1.763,6,0,4,0.7826086956181475,-0.7918
1445,2025-12-01 01:55:00,0,0,0.0,0,0.0,0,1,4,0.7826086956181475,-0.0797
1915,2025-12-01 02:30:00,0,18,0.0,0,0.0,18,2,4,0.7826086956181475,-0.5824
2023,2025-12-01 02:45:00,0,0,1.0,1,0.878,0,2,4,0.7826086956181475,-0.5097
2061,2025-12-01 02:45:00,0,11,0.5,1,1.439,11,2,4,0.7826086956181475,0.2597
2168,2025-12-01 02:55:00,0,6,0.5,1,1.763,6,2,4,0.7826086956181475,0.2202
3383,2025-12-01 04:45:00,0,15,0.5,1,1.275,15,4,4,0.7826086956181475,0.2561
3685,2025-12-01 05:20:00,0,2,0.5,0,0.0,2,5,4,0.7826086956181475,-0.4755
3915,2025-12-01 05:45:00,0,3,0.5,1,1.242,3,5,4,0.7826086956181475,0.2698
3930,2025-12-01 05:45:00,0,10,1.0,1,1.935,10,5,4,0.7826086956181475,-0.2039
4653,2025-12-01 07:10:00,0,13,0.5,1,1.374,13,7,4,0.7826086956181475,1.7906
5947,2025-12-01 10:05:00,0,0,0.5,0,0.0,0,10,4,0.7826086956181475,-0.0768
6564,2025-12-01 11:35:00,0,3,1.0,1,0.742,3,11,4,0.7826086956181475,-0.253
6586,2025-12-01 11:35:00,0,18,1.0,1,1.561,18,11,4,0.7826086956181475,0.1637
6749,2025-12-01 12:00:00,0,11,0.0,1,1.939,11,12,4,0.7826086956181475,0.2876
7053,2025-12-01 12:50:00,0,6,1.0,1,1.263,6,12,4,0.7826086956181475,-0.4217
8295,2025-12-01 16:45:00,0,17,1.0,1,1.574,17,16,4,0.7826086956181475,-1.4535
8400,2025-12-01 17:15:00,0,2,0.5,0,0.0,2,17,4,0.7826086956181475,-0.7377
8432,2025-12-01 17:20:00,0,18,1.0,1,1.561,18,17,4,0.7826086956181475,0.4428
8765,2025-12-01 18:35:00,0,0,0.5,1,1.378,0,18,4,0.7826086956181475,0.4828
8911,2025-12-01 19:10:00,0,11,1.0,1,0.939,11,19,4,0.7826086956181475,-0.7262
9509,2025-12-01 21:45:00,0,13,0.0,1,1.874,13,21,4,0.7826086956181475,-1.3249
9601,2025-12-01 22:10:00,0,5,0.5,1,1.609,5,22,4,0.7826086956181475,0.3941
173,2025-12-01 00:10:00,1,13,0.0,0,0.0,13,0,4,0.8095238094852608,0.2842
705,2025-12-01 00:50:00,1,9,0.5,1,0.809,9,0,4,0.8095238094852608,-0.5949
915,2025-12-01 01:10:00,1,6,0.5,1,1.763,6,1,4,0.8095238094852608,0.2531
1006,2025-12-01 01:15:00,1,14,0.5,1,1.125,14,1,4,0.8095238094852608,-0.1694
1121,2025-12-01 01:25:00,1,9,1.0,1,0.309,9,1,4,0.8095238094852608,-0.2307
1342,2025-12-01 01:45:00,1,10,0.0,1,2.935,10,1,4,0.8095238094852608,0.0428
2177,2025-12-01 02:55:00,1,8,0.5,1,0.889,8,2,4,0.8095238094852608,0.2043
2920,2025-12-01 04:00:00,1,6,1.0,1,1.263,6,4,4,0.8095238094852608,0.6801
4020,2025-12-01 05:55:00,1,14,1.0,1,0.625,14,5,4,0.8095238094852608,-0.8585
4311,2025-12-01 06:30:00,1,11,0.5,1,1.439,11,6,4,0.8095238094852608,-0.2038
4521,2025-12-01 06:55:00,1,14,0.5,0,0.0,14,6,4,0.8095238094852608,-0.1985
4929,2025-12-01 07:45:00,1,1,0.5,1,0.688,1,7,4,0.8095238094852608,-0.4039
5082,2025-12-01 08:00:00,1,16,0.5,1,0.78,16,8,4,0.8095238094852608,-0.0273
5366,2025-12-01 08:35:00,1,15,0.0,1,1.775,15,8,4,0.8095238094852608,-0.9992
6315,2025-12-01 11:00:00,1,3,0.0,0,0.0,3,11,4,0.8095238094852608,-0.8976
6533,2025-12-01 11:30:00,1,6,1.0,0,0.0,6,11,4,0.8095238094852608,0.9709
7261,2025-12-01 13:25:00,1,7,0.5,1,2.441,7,13,4,0.8095238094852608,-0.3462
7963,2025-12-01 15:40:00,1,1,0.5,1,0.688,1,15,4,0.8095238094852608,0.1943
8408,2025-12-01 17:15:00,1,13,0.5,1,1.374,13,17,4,0.8095238094852608,0.5089
8622,2025-12-01 18:00:00,1,12,1.0,1,0.951,12,18,4,0.8095238094852608,0.177
9316,2025-12-01 20:55:00,1,19,1.0,1,0.28,19,20,4,0.8095238094852608,-0.262
445,2025-12-01 00:30:00,2,10,0.0,1,2.935,10,0,1,0.8181818181446281,0.4994
549,2025-12-01 00:40:00,2,4,0.5,1,2.146,4,0,1,0.8181818181446281,0.8956
1009,2025-12-01 01:15:00,2,15,1.0,1,0.775,15,1,1,0.8181818181446281,0.5834
1288,2025-12-01 01:40:00,2,15,0.0,1,1.775,15,1,1,0.8181818181446281,-0.7448
2031,2025-12-01 02:45:00,2,1,1.0,1,0.188,1,2,1,0.8181818181446281,0.9764
2431,2025-12-01 03:20:00,2,6,1.0,1,1.263,6,3,1,0.8181818181446281,-0.8113
3227,2025-12-01 04:30:00,2,16,0.5,1,0.78,16,4,1,0.8181818181446281,0.5599
3781,2025-12-01 05:30:00,2,7,0.5,0,0.0,7,5,1,0.8181818181446281,-0.3636
4938,2025-12-01 07:45:00,2,4,0.5,1,2.146,4,7,1,0.8181818181446281,0.8065
4983,2025-12-01 07:50:00,2,13,0.0,1,1.874,13,7,1,0.8181818181446281,-0.4054
6843,2025-12-01 12:15:00,2,15,1.0,1,0.775,15,12,1,0.8181818181446281,0.3139
7133,2025-12-01 13:00:00,2,14,0.5,1,1.125,14,13,1,0.8181818181446281,-0.5901
7333,2025-12-01 13:35:00,2,16,1.0,1,0.28,16,13,1,0.8181818181446281,-0.4475
7463,2025-12-01 13:55:00,2,19,0.5,1,0.78,19,13,1,0.8181818181446281,1.0376
7547,2025-12-01 14:15:00,2,6,0.5,1,1.763,6,14,1,0.8181818181446281,0.0249
7964,2025-12-01 15:40:00,2,1,0.5,1,0.688,1,15,1,0.8181818181446281,0.2385
8146,2025-12-01 16:20:00,2,4,1.0,0,0.0,4,16,1,0.8181818181446281,-0.3067
8616,2025-12-01 18:00:00,2,6,0.0,1,2.263,6,18,1,0.8181818181446281,0.0445
8698,2025-12-01 18:15:00,2,16,0.5,1,0.78,16,18,1,0.8181818181446281,0.2049
8882,2025-12-01 19:05:00,2,6,1.0,0,0.0,6,19,1,0.8181818181446281,0.1684
9111,2025-12-01 20:05:00,2,4,0.5,0,0.0,4,20,1,0.8181818181446281,-0.3964
9765,2025-12-01 23:00:00,2,0,0.5,1,1.378,0,23,1,0.8181818181446281,-0.5246
331,2025-12-01 00:25:00,3,0,0.0,1,1.878,0,0,3,0.749999999953125,-0.6816
1561,2025-12-01 02:05:00,3,2,0.5,1,2.072,2,2,3,0.749999999953125,0.3179
2143,2025-12-01 02:50:00,3,16,0.5,1,0.78,16,2,3,0.749999999953125,-0.5027
2331,2025-12-01 03:10:00,3,10,0.0,0,0.0,10,3,3,0.749999999953125,-0.2141
2589,2025-12-01 03:35:00,3,0,1.0,1,0.878,0,3,3,0.749999999953125,0.1716
4427,2025-12-01 06:45:00,3,8,0.5,1,0.889,8,6,3,0.749999999953125,0.2328
