rider_id,segment
0,4
1,4
2,1
3,3
4,0
5,0
6,0
7,2
8,3
9,7
10,3
11,5
12,2
13,4
14,5
15,1
16,4
17,5
18,0
19,4
20,1
21,1
22,1
23,4
24,0
25,0
26,7
27,4
28,0
29,1
30,4
31,2
32,2
33,7
34,6
35,6
36,1
37,5
38,6
39,1
40,1
41,2
42,4
43,2
44,4
45,2
46,4
47,1
48,2
49,2
50,4
51,3
52,3
53,6
54,6
55,1
56,2
57,0
58,6
59,1
60,4
61,6
62,5
63,6
64,6
65,2
66,3
67,7
68,6
69,6
70,2
71,6
72,4
73,6
74,5
75,4
76,2
77,5
78,4
79,7
80,4
81,2
82,1
83,3
84,3
85,5
86,4
87,5
88,5
89,4
90,4
91,1
92,2
93,3
94,2
95,6
96,3
97,4
98,2
99,2
100,5
101,7
102,5
103,1
104,4
105,2
106,7
107,4
108,7
109,2
110,1
111,5
112,0
113,1
114,0
115,1
116,5
117,7
118,5
119,5
120,1
121,7
122,2
123,4
124,0
125,3
126,3
127,1
128,1
129,4
130,6
131,5
132,5
133,7
134,0
135,1
136,4
137,4
138,4
139,4
140,1
141,7
142,0
143,1
144,1
145,1
146,7
147,1
148,1
149,2
150,1
151,1
152,5
153,3
154,2
155,4
156,5
157,7
158,0
159,3
160,5
161,2
162,3
163,2
164,3
165,5
166,3
167,5
168,0
169,1
170,1
171,1
172,1
173,3
174,6
175,3
176,1
177,5
178,5
179,6
180,0
181,7
182,4
183,3
184,7
185,3
186,1
187,0
188,1
189,3
190,1
191,0
192,2
193,6
194,7
195,5
196,1
197,1
198,4
199,4
200,6
201,6
202,5
203,6
204,7
205,7
206,0
207,6
208,6
209,2
210,2
211,6
212,6
213,0
214,1
215,5
216,0
217,3
218,7
219,5
220,1
221,0
222,1
223,4
224,2
225,3
226,6
227,1
228,1
229,2
230,6
231,1
232,1
233,7
234,6
235,4
236,5
237,4
238,7
239,1
240,4
241,0
242,4
243,2
244,7
245,4
246,2
247,1
248,5
249,2
250,5
251,0
252,0
253,2
254,3
255,5
256,2
257,5
258,0
259,2
260,5
261,5
262,0
263,5
264,3
265,5
266,4
267,2
268,4
269,7
270,4
271,1
272,2
273,6
274,3
275,0
276,0
277,7
278,1
279,1
280,1
281,6
282,5
283,6
284,3
285,2
286,2
287,1
288,0
289,5
290,1
291,5
292,2
293,4
294,4
295,3
296,1
297,1
298,1
299,2
300,7
301,5
302,3
303,3
304,5
305,6
306,2
307,4
308,7
309,1
310,5
311,6
312,4
313,7
314,5
315,3
316,7
317,1
318,7
319,7
320,3
321,1
322,4
323,1
324,4
325,7
326,4
327,2
328,1
329,1
330,2
331,5
332,2
333,4
334,2
335,3
336,5
337,3
338,7
339,5
340,2
341,3
342,7
343,5
344,1
345,6
346,5
347,6
348,2
349,1
350,5
351,1
352,1
353,6
354,4
355,3
356,5
357,4
358,2
359,7
360,6
361,4
362,2
363,2
364,2
365,4
366,1
367,1
368,5
369,3
370,5
371,2
372,5
373,6
374,1
375,5
376,3
377,6
378,4
379,0
380,4
381,5
382,7
383,3
384,4
385,3
386,6
387,0
388,1
389,6
390,5
391,3
392,5
393,6
394,7
395,4
396,5
397,2
398,6
399,1
400,1
401,6
402,5
403,7
404,1
405,5
406,1
407,3
408,0
409,2
410,3
411,5
412,4
413,5
414,3
415,1
416,4
417,5
418,5
419,7
420,2
421,2
422,5
423,3
424,6
425,4
426,3
427,0
428,4
429,7
430,3
431,6
432,7
433,1
434,4
435,4
436,4
437,2
438,7
439,5
440,5
441,7
442,6
443,7
444,4
445,3
446,4
447,6
448,3
449,3
450,6
451,2
452,4
453,2
454,4
455,3
456,4
457,4
458,1
459,1
460,5
461,6
462,2
463,3
464,4
465,7
466,0
467,5
468,5
469,0
470,5
471,4
472,2
473,1
474,5
475,6
476,1
477,1
478,6
479,2
480,0
481,1
482,7
483,3
484,4
485,7
486,1
487,0
488,3
489,2
490,3
491,6
492,5
493,6
494,0
495,5
496,1
497,1
498,1
499,7
