region_a,region_b,weight
0,1,0.5239865855288193
0,19,0.60871249583307
1,8,0.7884989716744231
1,4,0.6712464880005318
2,3,0.5982214605921963
3,4,0.6032864446708722
5,6,0.373555088256351
5,8,0.12773605111114547
6,11,0.49304565030912617
7,8,0.2931262055375763
9,10,0.4676757793521725
9,12,0.8680627659413495
9,13,0.3105455372788067
10,11,0.15247246752015942
11,12,0.35324550281979694
14,15,0.36423438199001523
15,16,0.6957248632542056
16,17,0.6013289371071505
16,18,0.8055083881957722
17,18,0.6978821862946488
